"term","definition"
"Ambient Temperature Deviation Detection","Detection of deviations from ambient temperature, usually using a device that measures or records temperature changes."
"Anomalous Activity","Activity, evidence, or conditions that differ from what is expected and have not yet been explained."
"Apparition","A visual phenomenon interpreted as a person, figure, animal, object, or presence that is not ordinarily visible or physically accounted for at the time of observation."
"Audio Phenomena","A category of phenomena involving any auditory event that is perceived or documented."
"Compromised Evidence","Evidence affected by environmental contamination, handling, instrument error, or other conditions that make it unreliable or unsuitable for analysis."
"Disembodied Voice","A voice or speech-like sound heard at the time it occurs without an apparent source."
"Electromagnetic Field","In supernatural investigation, a measurement used to document variances in electromagnetic radiation. These variances can be interpreted as possible evidence of paranormal activity when considered alongside the full investigation context."
"Electronic Voice Phenomenon","Recorded audio interpreted as voices or speech that were otherwise not observed at the time of recording."
"EMF Meter","A device used to measure electromagnetic fields or changes in electromagnetic field strength."
"EMF Spike","A sudden or notable increase in an EMF reading during an investigation that may be interpreted as possible evidence of paranormal activity."
"Environmental Contamination","An environmental condition or factor that may affect, distort, or inhibit analysis of reported or recorded activity."
"Ghost","A common term for unexplained activity interpreted as involving a person, animal, object, place, or presence that is not ordinarily observable."
"Haunting","A case of unexplained activity associated with a person, place, or object."
"Infrasound","Sound below the usual lower limit of human hearing that has been known to cause physical symptoms, including discomfort, unease, vibration, or other reported experiences."
"Instrumental Trans-Communication","The use of devices, usually electronic, to attempt communication in the context of paranormal activity."
"Intelligent Activity","Unexplained activity that appears to show awareness, intention, or purposeful behavior."
"Mists","Visible haze, vapor, smoke, fog-like forms, or clouded areas witnessed in person or seen in images."
"Orbs","Circular or spherical forms, usually light-emitting and sometimes dark, seen in photographs, video, or direct observation."
"Paranormal","A broad term for something that appears to fall outside ordinary explanation based on the information currently available."
"Parapsychology","The study of claimed psi-related experiences and abilities, such as telepathy, clairvoyance, precognition, psychokinesis, and survival-related claims."
"Pareidolia","The perception of meaningful patterns, faces, figures, words, or voices in ambiguous or random sensory information."
"Recurrent Activity","Unexplained activity that appears to repeat in a similar way over time without showing awareness, intention, or purposeful behavior."
"Shadow People","A common term for dark, shadow-like figures reported as human-shaped or presence-like, commonly lacking clear features or seen briefly, peripherally, or under low-light conditions."
"Spirit","A term for a nonphysical presence or consciousness interpreted as continuing apart from a living being."
"Spirit Box","A device or application used to generate audio or words that may be reviewed for possible responses or anomalous content."
"Supernatural","A broad term for phenomena interpreted as existing beyond the known laws of nature or not fully explained by them."
"Temperature Changes","Reported or measured shifts in ambient temperature, surface temperature, or perceived heat or cold, commonly referred to as cold spots or hot spots."
"TriField Meter","A meter commonly used to detect or measure AC magnetic fields, AC electric fields, and RF or microwave signals."
"Visual Phenomena","A category of phenomena involving any visual event that is witnessed in person or documented in images or video."
"Whispers","Low-volume voice or speech-like sounds heard or recorded without an apparent source."
